STT,Course ID,Khóa học,Môn học,Chương,Folder,Lesson ID,Tên bài,Loại video,Video ID,Link video,Số tài liệu,Tài liệu (title:url),Ngày tạo,Ngày cập nhật
"11","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","BỔ TRỢ","Toán học","","yRcdAbLM4FaUj1eECMaB","Tam thức bậc 2 và xét dấu - đề luyện tập số 2 p1","hls","b2:2k9 EMPIRE/6/Tam-thuc-bac-2-va-xet-dau-de-luyen-tap-so-2-p1-hls/master.m3u8","https://b2-video.sharekhoahoc.net/file/skh-videos/2k9%20EMPIRE/6/Tam-thuc-bac-2-va-xet-dau-de-luyen-tap-so-2-p1-hls/master.m3u8?Authorization=4_0048a51ad309cc90000000001_01c5a351_bcd838_acct_WY6ncYK9jD2_D19rtAK81xyHn2o%3D&downloadUrl=https%3A%2F%2Ff004.backblazeb2.com","1","Tài liệu:https://drive.google.com/drive/folders/1GnyBTE1iDcfUVfUo0aowvpCt3LkPNGOF?usp=drive_link","8/6/2026","26/6/2026"
"12","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","BỔ TRỢ","Toán học","","Dn3dkLqaanY6YIdO70Su","Tam thức bậc 2 và xét dấu - đề luyện tập số 3","hls","b2:2k9 EMPIRE/12/Tam-thuc-bac-2-va-xet-dau-de-luyen-tap-so-3-hls/master.m3u8","https://b2-video.sharekhoahoc.net/file/skh-videos/2k9%20EMPIRE/12/Tam-thuc-bac-2-va-xet-dau-de-luyen-tap-so-3-hls/master.m3u8?Authorization=4_0048a51ad309cc90000000001_01c5a351_bcd838_acct_WY6ncYK9jD2_D19rtAK81xyHn2o%3D&downloadUrl=https%3A%2F%2Ff004.backblazeb2.com","1","tài liệu:https://drive.google.com/drive/folders/1GnyBTE1iDcfUVfUo0aowvpCt3LkPNGOF?usp=drive_link","5/7/2026","6/7/2026"
"13","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","GIAI ĐOẠN HỖ TRỢ ÔN THI HK2 11 (Bỏ qua k cần học nhé)","TOÁN HỌC","","GxTT8isb4XsuaUSfTb2f","GIẢI ĐỀ ÔN THI HK2-đề 1","drive","https://drive.google.com/file/d/11lTmG08WjPYTv-S6EuycDY6slwnggwTK/view?usp=drive_link","https://drive.google.com/file/d/11lTmG08WjPYTv-S6EuycDY6slwnggwTK/view?usp=drive_link","1","GIẢI ĐỀ ÔN THI HK2-b1:https://drive.google.com/file/d/1fKXM12RbSubT9hKbydA6s5h5WmSV0VJo/view?usp=sharing","20/4/2026","12/5/2026"
"14","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","GIAI ĐOẠN HỖ TRỢ ÔN THI HK2 11 (Bỏ qua k cần học nhé)","TOÁN HỌC","","05RXC9K4aJoMfQFn0YVl","TỔNG ÔN HHKG BUỔI 3","drive","https://drive.google.com/file/d/1byHn8xHYR92QCOA1LSQVkKsp56xdTCF7/view?usp=drive_link","https://drive.google.com/file/d/1byHn8xHYR92QCOA1LSQVkKsp56xdTCF7/view?usp=drive_link","1","TỔNG ÔN HHKG BUỔI 3:https://drive.google.com/file/d/1jAD_oIbrNmXUIaXtiCdx2W45ZNQnt_Qp/view?usp=drive_link","20/4/2026","12/5/2026"
"15","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","GIAI ĐOẠN HỖ TRỢ ÔN THI HK2 11 (Bỏ qua k cần học nhé)","TOÁN HỌC","","lYiyLnL9YgWKCXPTOJaM","GIẢI ĐỀ ÔN THI HK2-đề 3","drive","https://drive.google.com/file/d/1I7b9AEF0e3OksiMBh6p9xCpZc1xFnJwn/view?usp=drive_link","https://drive.google.com/file/d/1I7b9AEF0e3OksiMBh6p9xCpZc1xFnJwn/view?usp=drive_link","1","GIẢI ĐỀ ÔN THI HK2-đề 3:https://drive.google.com/file/d/1U0az5yOP9PVvPsKVj_D3ndFM8LCHLy1r/view?usp=sharing","20/4/2026","12/5/2026"
"16","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","GIAI ĐOẠN HỖ TRỢ ÔN THI HK2 11 (Bỏ qua k cần học nhé)","TOÁN HỌC","","vkxgzS0xDcw06gxHGEv2","GIẢI ĐỀ ÔN THI HK2-đề 4","drive","https://drive.google.com/file/d/10k62vpOjLaQZOcTVJ31K2ewbisN_dGeZ/view?usp=drive_link","https://drive.google.com/file/d/10k62vpOjLaQZOcTVJ31K2ewbisN_dGeZ/view?usp=drive_link","1","GIẢI ĐỀ ÔN THI HK2-đề 4:https://drive.google.com/file/d/1NbGX4bGlfmNhDcSFPNSlPqlk2fOwramF/view?usp=sharing","20/4/2026","12/5/2026"
"17","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","GIAI ĐOẠN HỖ TRỢ ÔN THI HK2 11 (Bỏ qua k cần học nhé)","TOÁN HỌC","","YWzjnzrcfs6IVXdUeiDQ","CHỦ ĐỀ 1.1 GIỚI HẠN CỦA DÃY SỐ P1","drive","https://drive.google.com/file/d/1YVNhTzJbW8G1xD13Wwa3dyJkwbhuEqpj/view?usp=drive_link","https://drive.google.com/file/d/1YVNhTzJbW8G1xD13Wwa3dyJkwbhuEqpj/view?usp=drive_link","1","TỔNG ÔN CHUYÊN ĐỀ GIỚI HẠN P1.pdf:https://drive.google.com/file/d/1TWSIfy2NHfHt7sjbwtpBJ-0dIJIhYCyq/view?usp=drive_link","26/4/2026","12/5/2026"
"18","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","GIAI ĐOẠN HỖ TRỢ ÔN THI HK2 11 (Bỏ qua k cần học nhé)","TOÁN HỌC","","fs0XQmpZc762ECsFLrns","CHỦ ĐỀ 1.1 GIỚI HẠN CỦA DÃY SỐ P2","drive","https://drive.google.com/file/d/1FJIY0mUEkA_5CtSIEiN2Y0sHtTFFXFUJ/view?usp=drive_link","https://drive.google.com/file/d/1FJIY0mUEkA_5CtSIEiN2Y0sHtTFFXFUJ/view?usp=drive_link","1","TỔNG ÔN CHUYÊN ĐỀ GIỚI HẠN:https://drive.google.com/file/d/1TWSIfy2NHfHt7sjbwtpBJ-0dIJIhYCyq/view?usp=sharing","26/4/2026","12/5/2026"
"19","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","GIAI ĐOẠN HỖ TRỢ ÔN THI HK2 11 (Bỏ qua k cần học nhé)","TOÁN HỌC","","JUg4HAADTVHgZdU6avic","CHỦ ĐỀ 1.2 GIỚI HẠN CỦA HÀM SỐ P1","drive","https://drive.google.com/file/d/1iayaexE4z6wMTZWKIc2LeEKY7bKjg1Pb/view?usp=drive_link","https://drive.google.com/file/d/1iayaexE4z6wMTZWKIc2LeEKY7bKjg1Pb/view?usp=drive_link","1","CHỦ ĐỀ 1.2. GIỚI HẠN CỦA HÀM SỐ.pdf:https://drive.google.com/file/d/1TtP-ryJddng-nAMEwn9i6MaK5rJCJing/view?usp=sharing","5/5/2026","12/5/2026"
"20","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","GIAI ĐOẠN HỖ TRỢ ÔN THI HK2 11 (Bỏ qua k cần học nhé)","TOÁN HỌC","","TXqK9cvTbxnj88B6fqp5","CHỦ ĐỀ 1.2 GIỚI HẠN CỦA HÀM SỐ P2","backblaze","b2:2k9 EMPIRE/CHU-dE-1.2-GIOI-HAN-CUA-HAM-SO-P2.mp4","https://b2-video.sharekhoahoc.net/file/skh-videos/2k9%20EMPIRE/CHU-dE-1.2-GIOI-HAN-CUA-HAM-SO-P2.mp4?Authorization=4_0048a51ad309cc90000000001_01c5a351_bcd838_acct_WY6ncYK9jD2_D19rtAK81xyHn2o%3D&downloadUrl=https%3A%2F%2Ff004.backblazeb2.com","1","CHỦ ĐỀ 1.2. GIỚI HẠN CỦA HÀM SỐ.pdf:https://drive.google.com/file/d/1TtP-ryJddng-nAMEwn9i6MaK5rJCJing/view?usp=sharing","5/5/2026","12/5/2026"
"21","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","GIAI ĐOẠN HỖ TRỢ ÔN THI HK2 11 (Bỏ qua k cần học nhé)","TOÁN HỌC","","boz1r7RQ9rTm1NJsGmNA","CHỦ ĐỀ 1.3 HÀM SỐ LIÊN TỤC P1","drive","https://drive.google.com/file/d/1i3ZkaMLc5y_CbOYNqjQ44bD79tvP0l-A/view?usp=drive_link","https://drive.google.com/file/d/1i3ZkaMLc5y_CbOYNqjQ44bD79tvP0l-A/view?usp=drive_link","1","CHỦ ĐỀ 1.3. HÀM SỐ LIÊN TỤC - HANDO…:https://drive.google.com/file/d/1hXKhvOkFVMdOLEa2WXJXaVp6dwVHN2RL/view?usp=sharing","5/5/2026","12/5/2026"
"22","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","GIAI ĐOẠN HỖ TRỢ ÔN THI HK2 11 (Bỏ qua k cần học nhé)","TOÁN HỌC","","2EhVG7DwuameSV21YlSV","CHỦ ĐỀ 1.3 HÀM SỐ LIÊN TỤC P2","backblaze","b2:2k9 EMPIRE/CHU-dE-1.3-HAM-SO-LIEN-TUC-P2.mp4","https://b2-video.sharekhoahoc.net/file/skh-videos/2k9%20EMPIRE/CHU-dE-1.3-HAM-SO-LIEN-TUC-P2.mp4?Authorization=4_0048a51ad309cc90000000001_01c5a351_bcd838_acct_WY6ncYK9jD2_D19rtAK81xyHn2o%3D&downloadUrl=https%3A%2F%2Ff004.backblazeb2.com","1","Tài liệu 1:https://drive.google.com/file/d/1hXKhvOkFVMdOLEa2WXJXaVp6dwVHN2RL/view?usp=sharing","9/5/2026","12/5/2026"
"23","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","GIAI ĐOẠN HỖ TRỢ ÔN THI HK2 11 (Bỏ qua k cần học nhé)","TOÁN HỌC","","2fm4FH8h9NBa9oyDtR6L","CHỦ ĐỀ 2.1 HAI ĐƯỜNG THẲNG VUÔNG GÓC, GÓC GIỮA 2 ĐƯỜNG THẲNG P1","backblaze","b2:2k9 EMPIRE/CHU-dE-2.1-HAI-dUONG-THANG-VUONG-GOC-GOC-GIUA-2-dUONG-THANG-P1.mp4","https://b2-video.sharekhoahoc.net/file/skh-videos/2k9%20EMPIRE/CHU-dE-2.1-HAI-dUONG-THANG-VUONG-GOC-GOC-GIUA-2-dUONG-THANG-P1.mp4?Authorization=4_0048a51ad309cc90000000001_01c5a351_bcd838_acct_WY6ncYK9jD2_D19rtAK81xyHn2o%3D&downloadUrl=https%3A%2F%2Ff004.backblazeb2.com","1","Tài liệu 1:https://drive.google.com/file/d/1dQuxdWHXn8ajx2BTs_eKoDsAJfnU6XNx/view?usp=drive_link","9/5/2026","12/5/2026"
"24","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","GIAI ĐOẠN HỖ TRỢ ÔN THI HK2 11 (Bỏ qua k cần học nhé)","TOÁN HỌC","","KaoGBu3Q4PHyuypynj1E","CHỦ ĐỀ 2.1 HAI ĐƯỜNG THẲNG VUÔNG GÓC, GÓC GIỮA 2 ĐƯỜNG THẲNG P2","backblaze","b2:2k9 EMPIRE/CHU-dE-2.1-HAI-dUONG-THANG-VUONG-GOC-GOC-GIUA-2-dUONG-THANG-P2.mp4","https://b2-video.sharekhoahoc.net/file/skh-videos/2k9%20EMPIRE/CHU-dE-2.1-HAI-dUONG-THANG-VUONG-GOC-GOC-GIUA-2-dUONG-THANG-P2.mp4?Authorization=4_0048a51ad309cc90000000001_01c5a351_bcd838_acct_WY6ncYK9jD2_D19rtAK81xyHn2o%3D&downloadUrl=https%3A%2F%2Ff004.backblazeb2.com","1","Tài liệu 1:https://drive.google.com/file/d/1dQuxdWHXn8ajx2BTs_eKoDsAJfnU6XNx/view?usp=drive_link","12/5/2026","12/5/2026"
"25","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","GIAI ĐOẠN HỖ TRỢ ÔN THI HK2 11 (Bỏ qua k cần học nhé)","TOÁN HỌC","","qX8v3BWbHAVOO1WSxkTJ","CHỦ ĐỀ 2.2 ĐƯỜNG THẲNG VUÔNG GÓC VỚI MẶT PHẲNG P1","backblaze","b2:2k9 EMPIRE/CHU-dE-2.2-dUONG-THANG-VUONG-GOC-VOI-MAT-PHANG-P1.mp4","https://b2-video.sharekhoahoc.net/file/skh-videos/2k9%20EMPIRE/CHU-dE-2.2-dUONG-THANG-VUONG-GOC-VOI-MAT-PHANG-P1.mp4?Authorization=4_0048a51ad309cc90000000001_01c5a351_bcd838_acct_WY6ncYK9jD2_D19rtAK81xyHn2o%3D&downloadUrl=https%3A%2F%2Ff004.backblazeb2.com","1","Tài liệu 1:https://drive.google.com/file/d/1umPYJaPRspM0Ie_odlUYHiYNTEA-0htw/view?usp=drive_link","9/5/2026","12/5/2026"
"26","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","GIAI ĐOẠN HỖ TRỢ ÔN THI HK2 11 (Bỏ qua k cần học nhé)","TOÁN HỌC","","777cIqD037R09qLytr5d","CHỦ ĐỀ 2.2 ĐƯỜNG THẲNG VUÔNG GÓC VỚI MẶT PHẲNG P2","backblaze","b2:2k9 EMPIRE/CHU-dE-2.2-dUONG-THANG-VUONG-GOC-VOI-MAT-PHANG-P2.mp4","https://b2-video.sharekhoahoc.net/file/skh-videos/2k9%20EMPIRE/CHU-dE-2.2-dUONG-THANG-VUONG-GOC-VOI-MAT-PHANG-P2.mp4?Authorization=4_0048a51ad309cc90000000001_01c5a351_bcd838_acct_WY6ncYK9jD2_D19rtAK81xyHn2o%3D&downloadUrl=https%3A%2F%2Ff004.backblazeb2.com","1","Tài liệu 1:https://drive.google.com/file/d/1umPYJaPRspM0Ie_odlUYHiYNTEA-0htw/view?usp=drive_link","12/5/2026","12/5/2026"
"27","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","GIAI ĐOẠN HỖ TRỢ ÔN THI HK2 11 (Bỏ qua k cần học nhé)","TOÁN HỌC","","1aCGtVrE2aGNQF7Vlz2x","CHỦ ĐỀ 2.3 PHÉP CHIẾU VUÔNG GÓC, GÓC GIỮA ĐƯỜNG THẲNG VÀ MẶT PHẲNG P1","backblaze","b2:2k9 EMPIRE/CHU-dE-2.3-PHEP-CHIEU-VUONG-GOC-GOC-GIUA-dUONG-THANG-VA-MAT-PHANG-P1.mp4","https://b2-video.sharekhoahoc.net/file/skh-videos/2k9%20EMPIRE/CHU-dE-2.3-PHEP-CHIEU-VUONG-GOC-GOC-GIUA-dUONG-THANG-VA-MAT-PHANG-P1.mp4?Authorization=4_0048a51ad309cc90000000001_01c5a351_bcd838_acct_WY6ncYK9jD2_D19rtAK81xyHn2o%3D&downloadUrl=https%3A%2F%2Ff004.backblazeb2.com","1","Tài liệu 1:https://drive.google.com/file/d/12pyIa_hJV_zq3f9xK-8tCifKDdpGjW8H/view?usp=drive_link","12/5/2026","12/5/2026"
"28","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","GIAI ĐOẠN HỖ TRỢ ÔN THI HK2 11 (Bỏ qua k cần học nhé)","TOÁN HỌC","","lAFHUBHQ3oCMoYdUsNAF","CHỦ ĐỀ 2.3 PHÉP CHIẾU VUÔNG GÓC. GÓC GIỮA ĐƯỜNG THẲNG VÀ MẶT PHẲNG P2","backblaze","b2:2k9 EMPIRE/2/CHU-dE-2.3-PHEP-CHIEU-VUONG-GOC.-GOC-GIUA-dUONG-THANG-VA-MAT-PHANG-P2.mp4","https://b2-video.sharekhoahoc.net/file/skh-videos/2k9%20EMPIRE/2/CHU-dE-2.3-PHEP-CHIEU-VUONG-GOC.-GOC-GIUA-dUONG-THANG-VA-MAT-PHANG-P2.mp4?Authorization=4_0048a51ad309cc90000000001_01c5a351_bcd838_acct_WY6ncYK9jD2_D19rtAK81xyHn2o%3D&downloadUrl=https%3A%2F%2Ff004.backblazeb2.com","1","Tài liệu 1:https://drive.google.com/file/d/12pyIa_hJV_zq3f9xK-8tCifKDdpGjW8H/view?usp=drive_link","12/5/2026","19/5/2026"
"29","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","GIAI ĐOẠN HỖ TRỢ ÔN THI HK2 11 (Bỏ qua k cần học nhé)","TOÁN HỌC","","aIJUbxr9OQJoN9EsbL6b","CHỦ ĐỀ 2.3 PHÉP CHIẾU VUÔNG GÓC. GÓC GIỮA ĐƯỜNG THẲNG VÀ MẶT PHẲNG P3","backblaze","b2:2k9 EMPIRE/2/CHU-dE-2.3-PHEP-CHIEU-VUONG-GOC.-GOC-GIUA-dUONG-THANG-VA-MAT-PHANG-P3.mp4","https://b2-video.sharekhoahoc.net/file/skh-videos/2k9%20EMPIRE/2/CHU-dE-2.3-PHEP-CHIEU-VUONG-GOC.-GOC-GIUA-dUONG-THANG-VA-MAT-PHANG-P3.mp4?Authorization=4_0048a51ad309cc90000000001_01c5a351_bcd838_acct_WY6ncYK9jD2_D19rtAK81xyHn2o%3D&downloadUrl=https%3A%2F%2Ff004.backblazeb2.com","1","Tài liệu 1:https://drive.google.com/file/d/12pyIa_hJV_zq3f9xK-8tCifKDdpGjW8H/view?usp=drive_link","12/5/2026","19/5/2026"
"30","2k9-dgnl-dgnl-hcm-empire-team","2K9 DGNL | DGNL HCM - EMPIRE TEAM","GIAI ĐOẠN HỖ TRỢ ÔN THI HK2 11 (Bỏ qua k cần học nhé)","TOÁN HỌC","","iFYTB1ea8ISrQaBxWHhd","CHỦ ĐỀ 2.4 HAI MẶT PHẲNG VUÔNG GÓC (ĐÚNG SAI VÀ TRẢ LỜI NGẮN) P1","backblaze","b2:2k9 EMPIRE/2/CHU-dE-2.4-HAI-MAT-PHANG-VUONG-GOC-dUNG-SAI-VA-TRA-LOI-NGAN-P1.mp4","https://b2-video.sharekhoahoc.net/file/skh-videos/2k9%20EMPIRE/2/CHU-dE-2.4-HAI-MAT-PHANG-VUONG-GOC-dUNG-SAI-VA-TRA-LOI-NGAN-P1.mp4?Authorization=4_0048a51ad309cc90000000001_01c5a351_bcd838_acct_WY6ncYK9jD2_D19rtAK81xyHn2o%3D&downloadUrl=https%3A%2F%2Ff004.backblazeb2.com","1","File tài liệu:https://drive.google.com/file/d/1luBvuCm2zLID4N9czZCpY5o3FGK-BHYr/view?usp=drive_link","19/5/2026","19/5/2026"
